"X","Y","Z","Intensity","ReturnNumber","NumberOfReturns","ScanDirectionFlag","EdgeOfFlightLine","Classification","ScanAngleRank","UserData","PointSourceId","GpsTime"
524213.120,4778999.820,1530.030,9039.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.991
524214.120,4778999.680,1530.090,7812.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.991
524215.100,4778999.550,1530.300,8522.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.991
524210.520,4778999.950,1529.580,6779.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.984
524211.470,4778999.810,1529.770,7747.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.984
524212.470,4778999.670,1529.970,8458.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.984
524213.520,4778999.520,1530.090,8974.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.984
524214.500,4778999.390,1530.250,8264.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.984
524209.060,4778999.890,1529.340,6779.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.977
524210.090,4778999.740,1529.540,8070.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.977
524211.060,4778999.610,1529.640,9362.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.977
524211.990,4778999.480,1529.840,10782.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.977
524206.430,4778999.940,1529.090,7102.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.970
524207.440,4778999.800,1529.270,8329.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.970
524208.430,4778999.660,1529.360,7231.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.970
524209.500,4778999.510,1529.480,7489.000,1.000,0.000,0.000,0.000,3.000,0.000,0.000,4.000,586328.970
524210.480,4778999.370,1529.600,8135.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.970
524203.970,4778999.910,1528.770,7037.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.963
524205.010,4778999.770,1528.900,9297.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.963
524206.010,4778999.630,1529.150,10136.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.963
524207.000,4778999.490,1529.220,7037.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.963
524201.750,4778999.900,1528.550,6650.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.956
524202.820,4778999.750,1528.610,8974.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.956
524203.790,4778999.600,1528.740,8974.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.956
524204.760,4778999.470,1528.920,9168.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.956
524199.420,4778999.920,1528.030,8070.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.949
524200.460,4778999.780,1528.190,7166.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.949
524201.330,4778999.660,1528.430,8716.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.949
524202.420,4778999.500,1528.550,6973.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.949
