x,y,z
40.0750,40.0232,2041.00
40.0917,40.0232,1989.00
40.1083,40.0232,1913.00
40.1250,40.0232,2027.00
40.1417,40.0232,2175.00
40.1583,40.0232,2099.00
40.1750,40.0232,2063.00
40.1917,40.0232,2115.00
40.2083,40.0232,2173.00
40.0083,40.0104,2057.00
40.0250,40.0104,1923.00
40.0417,40.0104,1841.00
40.0583,40.0104,1877.00
40.0750,40.0104,1989.00
40.0917,40.0104,1947.00
40.1083,40.0104,1795.00
40.1250,40.0104,1973.00
40.1417,40.0104,2029.00
40.1583,40.0104,1903.00
40.1750,40.0104,1955.00
40.1917,40.0104,2063.00
40.2083,40.0104,2181.00
40.0083,39.9976,1965.00
40.0250,39.9976,1991.00
40.0417,39.9976,1837.00
40.0583,39.9976,1825.00
40.0750,39.9976,1865.00
40.0917,39.9976,1835.00
40.1083,39.9976,1769.00
40.1250,39.9976,1847.00
40.1417,39.9976,1839.00
40.1583,39.9976,1925.00
40.1750,39.9976,2159.00
40.1917,39.9976,2281.00
40.2083,39.9976,2279.00
